project,package,class,method,time_green
caseyjames,FinalProject,PriorityQueueHEAP,percolateUp.(I)V,74
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,89
caseyjames,FinalProject,PriorityQueueHEAP,swap.(II)V,30
caseyjames,assignment2,Library,getInstanceOf.(I)Ljava/lang/Object;,29
caseyjames,assignment2,LibraryGeneric,getOverdueList.(III)Ljava/lang/Object;,26
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,28
caseyjames,assignment5,MyLinkedList,remove.(I)Ljava/lang/Object;,31
caseyjames,assignment8,HashTable,nextPrime.(I)I,29
caseyjames,assignment8,HashTable,isPrime.(I)Z,30
caseyjames,assignment9,PriorityQueueHEAP,percolateUp.(I)V,31
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,35
caseyjames,assignment9,PriorityQueueHEAP,swap.(II)V,43
markcwal,com.codepath.apps.basictwitter,TimelineActivity,customLoadMoreDataFromApi.(I)V,34
stefanil,com.jsyn.examples,DualOscilloscope,startAudio.(I)V,29
stefanil,org.devel.jfxcontrols.scene.control.skin.animation,VelocityTracker,computeCurrentVelocity.(I)V,30
JPII,-,Bullet,increaseX.(I)V,47
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,findViewById.(I)Ljava/lang/Object;,47
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setContentView.(I)V,44
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setBehindContentView.(I)V,41
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setContentView.(I)V,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setBehindContentView.(I)V,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivityHelper,findViewById.(I)Ljava/lang/Object;,36
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,findViewById.(I)Ljava/lang/Object;,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setContentView.(I)V,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setBehindContentView.(I)V,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,findViewById.(I)Ljava/lang/Object;,28
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setContentView.(I)V,26
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setBehindContentView.(I)V,26
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,41
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setBehindContentView.(I)V,27
Trololoshe4ki,-,Proba3,deleteVertex.(I)V,28
Trololoshe4ki,-,Proba3,metodDelete.(I)V,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,28
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,get.(I)I,32
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getUploadBandwidth.(I)I,30
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadBandwidth.(I)I,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getRoundTripTime.(I)I,35
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getMaxConcurrentStreams.(I)I,29
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getCurrentCwnd.(I)I,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadRetransRate.(I)I,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,27
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getClientCertificateVectorSize.(I)I,28
JsonHunt,com.squareup.okhttp.internal.tls,DistinguishedNameParser,getByte.(I)I,36
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,31
JsonHunt,org.apache.cordova,LinearLayoutSoftKeyboardDetect,onMeasure.(II)V,30
si-yao,utility,SocketService,getInstance.(I)Ljava/lang/Object;,30
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onNavigationDrawerItemSelected.(I)V,28
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onSectionAttached.(I)V,29
billcchung,tw.billchung.taiwancoffeeprices,NavigationDrawerFragment,selectItem.(I)V,29
PunchApp,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,30
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,30
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,28
PunchApp,com.android.volley.mock,MockHttpClient,setErrorCode.(I)V,30
The-WUUSTER,-,Plausibility,indexLookup.(I)I,77
The-WUUSTER,markov,monteCarlo,indexLookup.(I)I,30
coronalabs,plugin.google.iap.v3.util,IabHelper,getResponseDesc.(I)Ljava/lang/Object;,30
IMORALESNW,com.nubware.healthyapp,ApplicationStep2,onExit.(I)V,29
neureal,org.noo4j.daemon,BtcDaemon,startListening.(III)V,29
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,29
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newStr.(I)I,28
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newDex.(I)I,29
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newCon.(I)I,32
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newMovement.(I)I,30
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleado.(I)Ljava/lang/Object;,28
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getAsistencia.(I)Ljava/lang/Object;,32
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,30
mathewreny,edu.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,81
mathewreny,edu.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,40
mathewreny,edu.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,39
mathewreny,edu.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,37
mathewreny,com.unl.cse,Compiler,returnBinaryNumber.(II)Ljava/lang/Object;,40
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,to12HourFormat.(II)Ljava/lang/Object;,60
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,33
bradfordkyle11,com.kmbapps.classscheduler,ClassLoader,releaseColor.(II)V,52
bradfordkyle11,com.kmbapps.classscheduler,NavigationDrawerFragment,selectItem.(I)V,31
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,newInstance.(I)Ljava/lang/Object;,27
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,onSortingKeySelected.(I)V,33
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,29
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,convertToPermissionsSet.(I)Ljava/lang/Object;,29
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,34
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setHotspotBounds.(IIII)V,30
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,30
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,39
nikit-cpp,player,CustomPlayer,play.(I)Z,30
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingsOfOneUser.(I)Ljava/lang/Object;,28
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,40
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingsOfOneMovie.(I)Ljava/lang/Object;,29
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,32
AdaptiveSystem,com.movie.worth.dao,Ratings,getOneParticularRating.(II)Ljava/lang/Object;,29
BrassGoggledCoders,fantasykingdoms.common.blocks,BlockCustomFiniteFluid,getIcon.(II)Ljava/lang/Object;,42
ronak1790,core,Database,getUsername.(I)Ljava/lang/Object;,29
