project,package,class,method,time
caseyjames,FinalProject,PriorityQueueHEAP,percolateUp.(I)V,145
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,161
caseyjames,FinalProject,PriorityQueueHEAP,swap.(II)V,57
caseyjames,assignment5,MyLinkedList,get.(I)Ljava/lang/Object;,64
caseyjames,assignment5,MyLinkedList,remove.(I)Ljava/lang/Object;,80
caseyjames,assignment8,HashTable,nextPrime.(I)I,87
caseyjames,assignment8,HashTable,isPrime.(I)Z,82
caseyjames,assignment9,PriorityQueueHEAP,percolateUp.(I)V,88
caseyjames,assignment9,PriorityQueueHEAP,percolateDown.(I)V,138
caseyjames,assignment9,PriorityQueueHEAP,swap.(II)V,62
markcwal,com.codepath.apps.basictwitter,TimelineActivity,customLoadMoreDataFromApi.(I)V,57
stefanil,com.jsyn.examples,DualOscilloscope,startAudio.(I)V,65
stefanil,org.devel.jfxcontrols.scene.control.skin.animation,VelocityTracker,computeCurrentVelocity.(I)V,210
JPII,-,Bullet,increaseX.(I)V,200
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,findViewById.(I)Ljava/lang/Object;,40
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setContentView.(I)V,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setBehindContentView.(I)V,46
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,44
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setContentView.(I)V,44
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,setBehindContentView.(I)V,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivityHelper,findViewById.(I)Ljava/lang/Object;,39
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,findViewById.(I)Ljava/lang/Object;,39
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setContentView.(I)V,41
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingFragmentActivity,setBehindContentView.(I)V,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,findViewById.(I)Ljava/lang/Object;,34
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setContentView.(I)V,32
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setBehindContentView.(I)V,31
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,findViewById.(I)Ljava/lang/Object;,35
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setContentView.(I)V,51
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingPreferenceActivity,setBehindContentView.(I)V,105
Trololoshe4ki,-,Proba3,deleteVertex.(I)V,61
Trololoshe4ki,-,Proba3,metodDelete.(I)V,51
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,set.(III)V,59
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,get.(I)I,49
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getUploadBandwidth.(I)I,45
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadBandwidth.(I)I,45
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getRoundTripTime.(I)I,97
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getMaxConcurrentStreams.(I)I,54
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getCurrentCwnd.(I)I,49
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getDownloadRetransRate.(I)I,48
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,47
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getClientCertificateVectorSize.(I)I,49
JsonHunt,com.squareup.okhttp.internal.tls,DistinguishedNameParser,getByte.(I)I,95
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,51
JsonHunt,org.apache.cordova,LinearLayoutSoftKeyboardDetect,onMeasure.(II)V,52
si-yao,utility,SocketService,getInstance.(I)Ljava/lang/Object;,49
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onNavigationDrawerItemSelected.(I)V,46
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onSectionAttached.(I)V,55
billcchung,tw.billchung.taiwancoffeeprices,NavigationDrawerFragment,selectItem.(I)V,34
PunchApp,com.android.volley.toolbox,ByteArrayPool,getBuf.(I)[B,48
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,expand.(I)V,41
PunchApp,com.android.volley.toolbox,PoolingByteArrayOutputStream,write.(I)V,50
PunchApp,com.android.volley.mock,MockHttpClient,setErrorCode.(I)V,52
The-WUUSTER,-,Plausibility,indexLookup.(I)I,111
The-WUUSTER,markov,monteCarlo,indexLookup.(I)I,60
coronalabs,plugin.google.iap.v3.util,IabHelper,getResponseDesc.(I)Ljava/lang/Object;,72
IMORALESNW,com.nubware.healthyapp,ApplicationStep2,onExit.(I)V,85
neureal,org.noo4j.daemon,BtcDaemon,startListening.(III)V,75
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,37
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newStr.(I)I,32
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newDex.(I)I,44
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newCon.(I)I,42
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newMovement.(I)I,58
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getAsistencia.(I)Ljava/lang/Object;,39
tecnomatico,com.freelancersteam.www.java.tomafoto.dominio.dao.imp,EmpleadoDaoImp,getEmpleadoDni.(I)Ljava/lang/Object;,36
bradfordkyle11,com.kmbapps.classscheduler,AddClassSectionActivity,createSection.(I)Ljava/lang/Object;,36
bradfordkyle11,com.kmbapps.classscheduler,ClassLoader,releaseColor.(II)V,35
bradfordkyle11,com.kmbapps.classscheduler,NavigationDrawerFragment,selectItem.(I)V,41
bradfordkyle11,com.kmbapps.classscheduler,SortByDialogFragment,onSortingKeySelected.(I)V,49
TymchenkoIvan,com.company.web.controller,ProductsServlet,setPages.(II)I,53
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,convertToPermissionsSet.(I)Ljava/lang/Object;,52
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,51
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setHotspotBounds.(IIII)V,49
Tibolte,is.arontibo.library.VectorCompat,DrawableCompat,setLayoutDirection.(I)V,47
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,46
nikit-cpp,player,CustomPlayer,play.(I)Z,32
AdaptiveSystem,com.movie.worth.dao,Ratings,getRatingCountOfOneUser.(I)I,35
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,35
wujek-srujek,com.jambit.conti.ccss,CCSS,generateTouch.(III)V,44
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,33
raphapacheco,br.com.backapp.finfacil.activity.spinner_adapter,CategoriaSpinnerAdapter,getItemId.(I)J,31
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,29
Freezard,com.example.lab6.dialer,DialerView,playSound.(I)V,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,ProductCellAdapter,getProduct.(I)Ljava/lang/Object;,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,SubcategoryAdapter,getCategory.(I)Ljava/lang/Object;,30
NanodegreeStudent,com.danilaeremin.nicecoffee.Fragments,NavigationDrawerFragment,selectItem.(I)V,29
shred,org.shredzone.feinrip.gui,JLabelGroup,setVerticalAlignment.(I)V,454
shred,org.shredzone.feinrip.gui,JLabelGroup,setMinimumWidth.(I)V,207
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionInterval.(II)V,108
shred,org.shredzone.feinrip.gui,NoListSelectionModel,addSelectionInterval.(II)V,37
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,35
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,38
lydiaSidhom,Engine,Shifter,shift.(I)V,62
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildrenCount.(I)I,32
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroupId.(I)J,48
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildId.(II)J,38
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,isChildSelectable.(II)Z,31
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,37
yitaohu,cs61b_project1,PixImage,getRed.(II)S,34
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,43
yitaohu,cs61b_project1,PixImage,getBlue.(II)S,33
nicolas-legroux,-,GraphBuilder,addPartsOfSize.(II)V,31
nicolas-legroux,-,GraphBuilder,isPart.(IIII)Z,31
phdabel,util,MASLABRouting,getSearch.(I)Ljava/lang/Object;,32
phdabel,util,MASLABRouting,getRoadIDs.(I)Ljava/lang/Object;,31
phdabel,ufrgs.maslab.abstractsimulator.algorithms,KMeans,initializeCentroids.(I)V,40
