project,package,class,method,time_green
yxsu,com.petuum.ps.server,ServerRow,subscribe.(I)V,76
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,35
rsv355,beap.webmyne.com.demotabbar,MainActivity,selectTAB.(I)V,35
zyq001,edu.bupt.zyq,PascalsTriangle,getRow.(I)Ljava/util/List;,712
jn222na,com.example.DAL,CRUD,getTask.(I)Ljava/lang/Object;,37
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,37
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canInput_Item.(I)Z,39
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,eliminarCargo.(I)Z,37
lorinczpatrik,tema2_TP,Simulator,addHandlers.(I)V,31
sheryanresutov,GameBackEnd,Game,returnScore.(II)Ljava/lang/Object;,31
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,31
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarCargo.(I)Z,29
fabiuz7,edu.priceton.cs.graph,GraphGenerator,simple.(II)Ljava/lang/Object;,45
MikeLydeamore,powercrystals.core.gui.controls,ListBox,getElement.(I)Ljava/lang/Object;,29
clrung,-,Graph,getVertex.(I)Ljava/lang/Object;,109
juancki,com.juancarlosgomez.threeonthree,MainActivity,setCurrentFlat.(I)V,32
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,30
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,30
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRate.(I)I,55
billcchung,tw.billchung.taiwancoffeeprices,NavigationDrawerFragment,selectItem.(I)V,32
RedingG,com.reding.qrcard,WelcomeActivity,onPageSelected.(I)V,29
jordanywhite,edu.up.cs301.othello,OthelloState,getDisk.(II)Ljava/lang/Object;,32
frigidrain,scheduler,TaskGroup,setId.(I)V,35
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitesTableModel,getValueAt.(II)Ljava/lang/Object;,30
xcerox,com.libreriajRR.seguridad,CoreValidacion,isSymbol.(I)Z,28
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,copyFromEnd.(II)V,31
aurora-lzzp,student,ClassMgr,delClass.(I)Z,26
jordanywhite,edu.up.cs301.othello,OthelloState,playDisk.(II)V,27
KenyStev,examen1labprg2,Empresa,payEmploye.(I)Z,28
ronenfilho,com.imagery.imagerymedical,FullScreenViewActivity,adjustImageAspect.(II)V,36
harrydet,com.example.harry.wakeup.adapters,ListTaskListAdapter,getItem.(I)Ljava/lang/Object;,27
linsonzhao,video.app.com.views,ScallingImageView,setMaxHeight.(I)V,29
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildrenCount.(I)I,28
WyattPearson,server,ReversiGame,flipLine.(IIII)V,72
nicolas-legroux,-,GraphBuilder,isPart.(IIII)Z,28
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelName.(I)Ljava/lang/Object;,28
sephiroth74,it.sephiroth.android.library.overlaymenu,OverMenuView,createMenuOverlay.(I)V,28
stickfigure,unsuck.security,BCrypt,gensalt.(I)Ljava/lang/String;,720
TBtomislav,jxl.biff.formula,Function,getFunction.(I)Ljava/lang/Object;,46
compgen-io,io.compgen.common,TallyCounts,incrementKey.(I)V,41
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,33
tliu17,-,ClosedHashing,insert.(II)V,47
WyattPearson,ui,DrawPanel,setSize.(II)V,124
xujiabin,com.zol.backserver.service,QueryReferTimeService,queryTime.(I)Ljava/lang/Object;,28
caseyjames,FinalProject,PriorityQueueHEAP,swap.(II)V,42
divinebooger,ngordnet,NGramMap,getRecord.(I)Ljava/lang/Object;,43
TBtomislav,jxl.format,BorderLineStyle,getStyle.(I)Ljxl/format/BorderLineStyle;,209
clrung,-,Heap,heapifyUp.(I)V,37
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,keyUp.(I)Z,27
RomanStoyko,com.storoman.app,MainActivity,onCreateDialog.(I)Ljava/lang/Object;,29
Mandrivia,main,ProblemData,isCovered.(I)I,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,decrSide.(I)Z,29
caseyjames,FinalProject,PriorityQueueHEAP,percolateUp.(I)V,55
RomanStoyko,com.storoman.app,MainActivity,delayedHide.(I)V,32
tliu17,-,ListGraph,addEdge.(II)V,30
sheryanresutov,gui,GamePanel,removePlayer.(I)V,26
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,hashFunc.(I)I,28
KenyStev,com.ZeroStudio.Algorimos.week1,WeightedQuickUnionUF,union.(II)V,27
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeLittleEndian.(II)V,30
tliu17,-,DirectedMatrixGraph,addEdge.(II)V,27
lorinczpatrik,tema2_TP,Simulator,addClients.(I)V,28
mtudora,com.application.timmy.ui,OfficeMapView,onSizeChanged.(IIII)V,28
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setSide.(II)Z,27
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,transfer.(III)Z,57
tliu17,-,OpenHashing,printTable.(I)V,50
jeremux,serveur,TreeImpl,getCptMessage.(I)I,38
martincameron,micromod,Channel,waveform.(II)I,36
divinebooger,-,Board,function.(I)I,37
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingMapActivity,setBehindContentView.(I)V,38
pfyuit,com.pfyuit.myalgorithm.datastructure.hash,HashTable,hashFunc1.(I)I,38
divinebooger,huglife,HugLife,simulate.(I)V,53
JsonHunt,com.squareup.okhttp.internal.tls,DistinguishedNameParser,getByte.(I)I,38
linsonzhao,video.app.autobahn,WebSocketOptions,setReconnectInterval.(I)V,28
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,checkNoEOF.(I)V,33
uqbar-project,com.uqbar.commons.descriptor,ClassForDescription,method2.(I)Ljava/lang/Object;,28
sheryanresutov,GameBackEnd,GameBoard,checkSet.(III)Z,29
jordanywhite,edu.up.cs301.game,GameHumanPlayer,flash.(II)V,41
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,30
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,writeInternal.(I)V,32
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,29
eevans,SevenZip.Compression.LZMA,Base,GetLenToPosState.(I)I,32
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getValueAt.(II)Ljava/lang/Object;,29
mithunkumarnallu,SchedulingAlgos,ProcessInfo,DecrementProcessBurstTime.(I)I,43
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRate.(I)I,36
kawsar-ahmed,demo,Demo,multiply.(II)I,56
Mandrivia,main,ProblemData,getTargetIndex.(II)I,28
endangh,p9.c,ArraysMatakuliah,get.(I)Ljava/lang/Object;,26
leetea,com.androidexample.noisealert,SoundLevelView,setLevel.(II)V,28
WyattPearson,-,HailstoneGenerator,hailstone.(I)I,32
divinebooger,-,StdDrawDemo,drawBoard.(I)V,32
clear2zero,com.ksy.media.widget,MediaPlayerView,doScreenOrientationRotate.(I)V,26
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getLastExternalSheetName.(I)Ljava/lang/Object;,28
lzh9102,zxinggui.generator,GeneratorManager,getGenerator.(I)Ljava/lang/Object;,29
ronenfilho,com.imagery.imagerymedical,MainActivity,displayView.(I)V,27
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,30
immlf,ua.pp.lab101.synthesizercontrol.ftdiconverter,DataConverter,returnClearBitMask.(I)B,27
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,29
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setState.(I)V,28
linsonzhao,video.app.com.views,ScallingImageView,setMaxWidth.(I)V,28
hpu-spring87,com.hpuvoice.XlistView,XListViewFooter,setBottomMargin.(I)V,28
twitter,com.twitter.http2,HttpConnection,updateReceiveWindowSize.(II)I,29
eevans,SevenZip.Compression.LZMA,Decoder,SetDictionarySize.(I)Z,29
TBtomislav,jxl.biff,BuiltInName,getBuiltInName.(I)Ljxl/biff/BuiltInName;,252
Mandrivia,main,ProblemData,setnZ.(I)V,36
divinebooger,-,StdDrawPlus,show.(I)V,107
jeremux,serveur,GraphImpl,getCptMessage.(I)I,32
sheryanresutov,GameBackEnd,GameBoard,addCards.(I)V,29
voodoodyne,org.subethamail.smtp.io,CRLFOutputStream,write.(I)V,32
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setFacing.(I)Z,31
fbrass,de.spqr.inventorychangeapp,PartServer,changeDoorAmount.(I)Z,30
boulderalf,com.boulderalf.markdown2mm,ToMmSerializer,createNode.(I)Ljava/lang/Object;,31
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newCon.(I)I,29
clhernandez,cl.usach.lab1.db.DAO.rrhh,DepartamentoDAO,eliminarDepartamento.(I)Z,29
dezouzart,service,SmartBusca,heuristica.(IIII)I,29
yxsu,com.petuum.ps.server,ServerRow,unsubscribe.(I)V,29
KenyStev,com.ZeroStudio.Algorimos.week1,QuickUnionUF,root.(I)I,28
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,28
The-WUUSTER,-,Plausibility,indexLookup.(I)I,51
divinebooger,huglife,HugLifeUtils,randomInt.(II)I,30
martincameron,micromod,Channel,updateSampleIdx.(II)V,28
linsonzhao,video.app.com.views,ScallingImageView,onMeasure.(II)V,28
abraxasson,at.abraxas.amarino.plugins.compass,EditActivity,getRateText.(I)Ljava/lang/Object;,27
divinebooger,-,Board,getPos.(I)Ljava/lang/Object;,27
zlim,jnt.scimark2,MonteCarlo,integrate.(I)D,29
luizrogeriocn,-,ListaDeCantinas,getEstoqueByPort.(I)I,28
martincameron,micromod,Macro,divide.(III)I,29
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageSelected.(I)V,31
tliu17,-,MatrixGraph,getNeighbors.(I)[I,28
yitaohu,cs61b_project1,PixImage,getGreen.(II)S,29
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,30
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItemId.(I)J,27
online-solutions,plus.studio.beta.streamvideo.mediacontroller,VideoControllerView,show.(I)V,30
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,30
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnError.(II)Z,39
fabiuz7,edu.priceton.cs.graph,GraphGenerator,completeBipartite.(II)Ljava/lang/Object;,28
caseyjames,FinalProject,PriorityQueueHEAP,percolateDown.(I)V,38
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getInitialWindowSize.(I)I,29
nemui,deep.dark.lonebrewer,LBWFCompanionConfigActivity,startColourPicking.(I)V,27
srivathsarao,com.vertexnet.realestate.model.tablemodel,SitePaymentTableModel,getValueAt.(II)Ljava/lang/Object;,28
linsonzhao,video.app.autobahn,ByteBufferOutputStream,write.(I)V,44
sudobash1,pbsc,PbscCompiler,generateSymTabComment.(II)Ljava/lang/Object;,31
Jumping-alien-W-and-M,jumpingalien.common.sprites,ImageSprite,resizeTo.(II)Ljava/lang/Object;,41
alexditu,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemViewType.(I)I,28
xujiabin,com.zol.backserver.util.date,DateConvertUtil,getWeekCnSn.(I)Ljava/lang/Object;,60
harithan81,com.lm.service,BookService,borrowBook.(I)Ljava/lang/Object;,29
WyattPearson,-,Board,getPos.(I)Ljava/lang/Object;,34
