project,package,class,method,time
yxsu,com.petuum.ps.server,ServerRow,subscribe.(I)V,777
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,112
rsv355,beap.webmyne.com.demotabbar,MainActivity,selectTAB.(I)V,93
jn222na,com.example.DAL,CRUD,getTask.(I)Ljava/lang/Object;,94
AdaptiveSystem,com.movie.worth.dao,Ratings,checkIfThisUserRatedThisMovie.(II)Ljava/lang/Object;,68
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canInput_Item.(I)Z,69
clhernandez,cl.usach.lab1.db.DAO.rrhh,CargoDAO,eliminarCargo.(I)Z,66
lorinczpatrik,tema2_TP,Simulator,addHandlers.(I)V,68
sheryanresutov,GameBackEnd,Game,returnScore.(II)Ljava/lang/Object;,46
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,48
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,eliminarCargo.(I)Z,45
juancki,com.juancarlosgomez.threeonthree,MainActivity,setCurrentFlat.(I)V,53
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,update.(I)V,53
JsonHunt,org.apache.cordova,CordovaBridge,jsSetNativeToJsBridgeMode.(II)V,48
abraxasson,at.abraxas.amarino.plugins.orientation,EditActivity,getRate.(I)I,70
billcchung,tw.billchung.taiwancoffeeprices,NavigationDrawerFragment,selectItem.(I)V,41
RedingG,com.reding.qrcard,WelcomeActivity,onPageSelected.(I)V,42
jordanywhite,edu.up.cs301.othello,OthelloState,getDisk.(II)Ljava/lang/Object;,40
frigidrain,scheduler,TaskGroup,setId.(I)V,38
xcerox,com.libreriajRR.seguridad,CoreValidacion,isSymbol.(I)Z,38
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,copyFromEnd.(II)V,45
aurora-lzzp,student,ClassMgr,delClass.(I)Z,40
jordanywhite,edu.up.cs301.othello,OthelloState,playDisk.(II)V,36
KenyStev,examen1labprg2,Empresa,payEmploye.(I)Z,39
ronenfilho,com.imagery.imagerymedical,FullScreenViewActivity,adjustImageAspect.(II)V,58
linsonzhao,video.app.com.views,ScallingImageView,setMaxHeight.(I)V,38
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getChildrenCount.(I)I,39
WyattPearson,server,ReversiGame,flipLine.(IIII)V,104
nicolas-legroux,-,GraphBuilder,isPart.(IIII)Z,36
