project,package,class,method,time_green
AlecinVan,storm.ingress.tools,SlotBasedCounter,wipeSlot.(I)V,35
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageScrollStateChanged.(I)V,29
abraxasson,at.abraxas.amarino.plugins.accelerometer,EditActivity,getRateText.(I)Ljava/lang/Object;,29
martincameron,micromod.compiler,Note,setRepeat.(I)V,30
stickfigure,unsuck.lang,DateUtil,calculateDaysAgoJoinedFloor.(I)Ljava/lang/Object;,32
frontiertsymbal,com.frontier.giphy.utils,CircularViewPagerHandler,onPageSelected.(I)V,34
WyattPearson,server,ReversiGame,flipLine.(IIII)V,86
KenyStev,-,PalindromoAir,income.(I)D,30
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newDex.(I)I,30
phdabel,util,MASLABRouting,getRoadIDs.(I)Ljava/lang/Object;,31
WyattPearson,-,ReversiGame,flipLine.(IIII)V,29
yxsu,com.petuum.ps.server,Server,addRowRequest.(IIII)V,29
martincameron,micromod,Instrument,normalizeSampleIdx.(I)I,32
online-solutions,plus.studio.beta.streamvideo.mediacontroller,VideoControllerView,show.(I)V,34
Artur-,org.vaadin.artur,DayValidator,getDaysInMonth.(I)I,75
srivathsarao,com.vertexnet.realestate.model.tablemodel,PaymentPlansTableModel,getValueAt.(II)Ljava/lang/Object;,27
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingActivity,findViewById.(I)Ljava/lang/Object;,28
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroup.(I)Ljava/lang/Object;,26
ey-,com.aje.logic16.app.serverApi,api,getHighScore.(I)Ljava/lang/Object;,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,isValidSlot.(I)Z,28
asleepcat,org.eclipse.wb.swt,SWTResourceManager,getCursor.(I)Ljava/lang/Object;,30
avoajaugochukwu,com.biito.masterflow,WebpageListFragment,setActivatedPosition.(I)V,29
jlnunn2372,main.java.bubblePopper,ScoreBoardController,addScoreToList.(II)V,29
jhonnybsg,br.com.gamezes.screens,PlayerSelectScreen,touchDragged.(III)Z,26
mirabon,com.artech.prototype2.tsaplin.statistics.ngrams,AbstractSingleWord,getNthWord.(I)Ljava/lang/Object;,29
tkleisas,org.teacake.monolith.apk,SoundPoolManager,pauseMusic.(I)V,26
BoBinLee,com.skhu.service,SkhuBrdService,addSkhuBrd.(II)Z,27
clhernandez,cl.usach.lab1.finanzas.rmi.client,ClienteFinanzasRMI,getOrdenProductoById.(I)Ljava/lang/Object;,27
harithan81,com.lm.service,UserActivityService,findOne.(I)Ljava/lang/Object;,26
Shanmathi1,edu.uic.cs583.msgsp,Input,min.(II)I,33
zhangruoxu,VC.CodeGen,Emitter,emitICONST.(I)V,76
Jumping-alien-W-and-M,jumpingalien.model,World,getFeature.(II)Ljava/lang/Object;,27
Mandrivia,main,ProblemData,setAreaDimension.(III)V,27
caseyjames,assignment8,HashTable,isPrime.(I)Z,28
TBtomislav,jxl.write.biff,RowRecord,getCell.(I)Ljava/lang/Object;,29
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemId.(I)J,26
Tommyatkins,com.tommyatkins.test.reflect,Generic,getGenericType.(I)Ljava/lang/Class;,28
fabiuz7,edu.priceton.cs.graph,GraphGenerator,regular.(II)Ljava/lang/Object;,29
endangh,p9.c,ArraysMatakuliah,get.(I)Ljava/lang/Object;,27
n11com,com.n11.tech.endlessadapter.adapter,EndlessAdapter,getItemId.(I)J,27
dumchikov,chickens.kharkov.ua.chickens,TabsViewPagerAdapter,getPageTitle.(I)Ljava/lang/Object;,27
KenyStev,ChessChaturanga.Logica.Pieces,Tower,validMovement.(II)Z,29
TBtomislav,jxl.biff,BuiltInName,getBuiltInName.(I)Ljxl/biff/BuiltInName;,306
twitter,com.twitter.http2,HttpConnection,removePendingWrite.(I)Ljava/lang/Object;,27
voodoodyne,org.subethamail.smtp.io,ThresholdingOutputStream,thresholdReached.(II)V,27
MikeLydeamore,powercrystals.core.gui.controls,Button,onMousePressed.(III)Z,28
SalesforceEng,com.salesforce.keystone.roadrunner.nio.streams,ByteBufferOutputStream,write.(I)V,26
aurora-lzzp,hex,Func_bin,_convert.(II)Ljava/lang/String;,54
nefiga,fastpace.com.appme.action,Action,setActionChanngeDrawable.(I)V,41
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getByteSizeKey.(I)I,35
Jumping-alien-W-and-M,jumpingalien.model,World,getHash.(II)I,34
martincameron,micromod,Channel,volumeSlide.(I)V,28
martincameron,ibxm,Data,uleInt.(I)I,31
jeremux,serveur,TreeImpl,aRecu.(I)Z,28
EricssonResearch,com.ericsson.research.owr.sdk,MediaStreamHandler,onSendSsrcChanged.(I)V,28
billcchung,tw.billchung.taiwancoffeeprices,MainActivity,onNavigationDrawerItemSelected.(I)V,26
NanodegreeStudent,com.danilaeremin.nicecoffee.Fragments,NavigationDrawerFragment,selectItem.(I)V,28
RedingG,com.reding.qrcard,WelcomeActivity,setCurView.(I)V,34
tuanhq,org.thq.business,ContentInfoDAO,getDtoById.(I)Ljava/lang/Object;,29
vehicle-history,io.vehiclehistory.fragment,NavigationDrawerFragment,selectItem.(I)V,29
dcapwell,com.github.dcapwell.java.file.operations,NIOChmod,isSet.(II)Z,41
MikeLydeamore,powercrystals.core.gui.controls,ListBox,setSelectedIndex.(I)V,28
KenyStev,ChessChaturanga.Logica.Pieces,Horse,validMovement.(II)Z,27
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,getOpLog.(I)Ljava/lang/Object;,27
sheryanresutov,gui,GamePanel,setGameID.(I)V,28
TBtomislav,jxl.write.biff,RowRecord,removeColumn.(I)V,28
martincameron,micromod.compiler,AudioData,resample.(II)Lmicromod/compiler/AudioData;,28
caseyjames,FinalProject,PriorityQueueHEAP,percolateUp.(I)V,29
eevans,SevenZip.Compression.LZMA,Base,StateUpdateChar.(I)I,32
eevans,SevenZip.Compression.RangeCoder,Decoder,DecodeDirectBits.(I)I,29
divinebooger,-,GenericList,get.(I)Ljava/lang/Object;,30
igrief15,-,Player,changeCoins.(I)V,26
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getColumnClass.(I)Ljava/lang/Object;,28
divinebooger,-,StdDrawPlus,isKeyPressed.(I)Z,87
yxsu,com.petuum.ps.thread,SSPRowRequestOpLogMgr,cleanVersionOpLogs.(II)V,32
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItem.(I)Ljava/lang/Object;,27
MikeLydeamore,cofh.gui,GuiTextList,selectLine.(I)V,28
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuAdapter,isPositionHeader.(I)Z,28
sheryanresutov,GameBackEnd,Game,onSubmit.(IIII)Ljava/lang/Object;,27
fiddenmar,com.jlabs.lab6,EncodingCipher,getEncoding.(I)Ljava/lang/String;,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,copyFromEnd.(II)V,31
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,write.(I)V,31
immlf,ua.pp.lab101.synthesizercontrol.adregisters,ADRegister,setBitByPosition.(I)V,33
clhernandez,cl.usach.lab1.db.DAO.finanzas,ClienteDAO,getClienteById.(I)Ljava/lang/Object;,28
markatithinkbest,tcnr18.com.finalproject,NavigationDrawerFragment,selectItem.(I)V,29
jordanywhite,edu.up.cs301.othello,OthelloState,isLegalMove.(II)Z,30
swapneshgandhi,com.cloudwick.training.logging,Calculator,calulate.(II)I,28
Jumping-alien-W-and-M,jumpingalien.model,World,setWindowWidth.(I)V,28
jlnunn2372,main.java.bubblePopper,ScoreBoardController,setHighScore.(I)V,27
sheryanresutov,GameBackEnd,Game,dropPlayerFromSB.(I)Ljava/lang/Object;,29
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,transfer.(III)Z,37
danielsnipher,br.com.fiap.blind,DesambiguaVoz,onInit.(I)V,28
igorgatis,com.googlecode.compress_j2me.gzip,ZStream,readLittleEndian.(I)I,31
