project,package,class,method,time_green
asutoshpalai,server,HTTPServer,runServer.(I)V,57
sheryanresutov,gui,GamePanel,removePlayer.(I)V,47
harithan81,com.lm.service,UserActivityService,returnBook.(I)Ljava/lang/Object;,72
Mandrivia,main,ProblemData,getWindVector.(III)Ljava/lang/Object;,42
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,44
di-ruan,shared,RDSWrapper,getRestaurantConfig.(I)Ljava/lang/Object;,43
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setVisiableHeight.(I)V,80
KenyStev,-,PalindromoAir,reset.(I)V,47
TBtomislav,jxl.biff,FormattingRecords,getDateFormat.(I)Ljava/lang/Object;,43
TomWerner,com.wernerapps.ezbongo.StopListing,ExpandableSwipeAdapter,getGroup.(I)Ljava/lang/Object;,40
ey-,com.aje.logic16.app.GameLogic,GameLogic,buttonClicked.(I)V,40
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,36
igrief15,-,Player,changeCoins.(I)V,27
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetIndex.(I)I,30
WyattPearson,-,Board,getPos.(I)Ljava/lang/Object;,28
supernova-cmu,CV,CrossValidationWithPruning,validate.(I)Ljava/lang/Object;,33
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setContentView.(I)V,29
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,42
Artur-,org.vaadin.artur,DayValidator,getDaysInMonth.(I)I,111
martincameron,micromod,Macro,divide.(III)I,35
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getRotation.(I)I,34
Mandrivia,main,ProblemData,setNbTurn.(I)V,35
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,renderMarkers.(I)V,39
martincameron,micromod,Instrument,setVolume.(I)V,48
lydiaSidhom,Engine,Shifter,shift.(I)V,52
SvenDub,nl.svendubbeld.car.activity,CarActivity,onGpsStatusChanged.(I)V,40
tliu17,-,DirectedMatrixGraph,getNeighbors.(I)[I,41
twitter,com.twitter.http2,HttpConnection,updateAllReceiveWindowSizes.(I)V,36
Mandrivia,main,ProblemData,setnY.(I)V,28
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelName.(I)Ljava/lang/Object;,46
sheryanresutov,GameBackEnd,Game,findPlayer.(I)Ljava/lang/Object;,36
divinebooger,huglife,HugLife,simulate.(II)V,47
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getValueAt.(II)Ljava/lang/Object;,53
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,27
yxsu,com.petuum.ps.server,Server,addClientBgPair.(II)V,29
supernova-cmu,CV,CrossValidation,validate.(I)Ljava/lang/Object;,29
clrung,-,Heap,right.(I)I,35
sheryanresutov,GameBackEnd,Game,addPlayerToSB.(I)Ljava/lang/Object;,28
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationFinished.(II)V,27
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnInfo.(II)Z,30
clrung,-,Heap,parent.(I)I,27
