project,package,class,method,time
asutoshpalai,server,HTTPServer,runServer.(I)V,791
sheryanresutov,gui,GamePanel,removePlayer.(I)V,74
harithan81,com.lm.service,UserActivityService,returnBook.(I)Ljava/lang/Object;,73
alexditu,ro.pub.cs.systems.pdsd.lab05.addressbook.controller,ContactAdapter,getItemViewType.(I)I,73
hpu-spring87,com.hpuvoice.XlistView,XListViewHeader,setVisiableHeight.(I)V,351
KenyStev,-,PalindromoAir,reset.(I)V,49
TBtomislav,jxl.biff,FormattingRecords,getDateFormat.(I)Ljava/lang/Object;,58
ey-,com.aje.logic16.app.GameLogic,GameLogic,buttonClicked.(I)V,73
voodoodyne,org.subethamail.smtp.server,SMTPServer,setBacklog.(I)V,67
igrief15,-,Player,changeCoins.(I)V,66
TBtomislav,jxl.write.biff,WritableWorkbookImpl,getExternalSheetIndex.(I)I,73
supernova-cmu,CV,CrossValidationWithPruning,validate.(I)Ljava/lang/Object;,102
jfeinstein10,com.jeremyfeinstein.slidingmenu.lib.app,SlidingListActivity,setContentView.(I)V,55
Jumping-alien-W-and-M,jumpingalien.model,World,getProperXWindow.(I)I,58
Artur-,org.vaadin.artur,DayValidator,getDaysInMonth.(I)I,138
martincameron,micromod,Macro,divide.(III)I,67
TheTemportalist,com.temportalist.thaumicexpansion.common.block,BlockThaumicAnalyzer,getRotation.(I)I,37
Mandrivia,main,ProblemData,setNbTurn.(I)V,35
netixx,fr.enst.infsi351.notedown.fragment,SideBySidePdfRendererFragment,renderMarkers.(I)V,40
martincameron,micromod,Instrument,setVolume.(I)V,66
lydiaSidhom,Engine,Shifter,shift.(I)V,45
SvenDub,nl.svendubbeld.car.activity,CarActivity,onGpsStatusChanged.(I)V,36
twitter,com.twitter.http2,HttpConnection,updateAllReceiveWindowSizes.(I)V,34
Mandrivia,main,ProblemData,setnY.(I)V,32
jordanywhite,edu.up.cs301.game.config,GameConfig,getSelName.(I)Ljava/lang/Object;,37
sheryanresutov,GameBackEnd,Game,findPlayer.(I)Ljava/lang/Object;,35
divinebooger,huglife,HugLife,simulate.(II)V,44
srivathsarao,com.vertexnet.realestate.model.tablemodel,AgentsTableModel,getValueAt.(II)Ljava/lang/Object;,41
jlnunn2372,bubblePopper,ScoreBoardController,setScore.(I)V,71
yxsu,com.petuum.ps.server,Server,addClientBgPair.(II)V,54
supernova-cmu,CV,CrossValidation,validate.(I)Ljava/lang/Object;,46
clrung,-,Heap,right.(I)I,42
sheryanresutov,GameBackEnd,Game,addPlayerToSB.(I)Ljava/lang/Object;,44
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,onAnimationFinished.(II)V,68
clear2zero,com.ksy.media.player,BaseMediaPlayer,notifyOnInfo.(II)Z,60
clrung,-,Heap,parent.(I)I,53
alexditu,ro.pub.cs.systems.pdsd.lab05.sample09baseadapter.controller,CartoonAdapter,getItemViewType.(I)I,52
jordanywhite,edu.up.cs301.game.config,GameConfig,setRemoteSelType.(I)V,59
NanodegreeStudent,com.danilaeremin.nicecoffee.Adapters,ProductCellAdapter,getProduct.(I)Ljava/lang/Object;,53
srivathsarao,com.vertexnet.realestate.model.tablemodel,EmployeesTableModel,isCellEditable.(II)Z,56
hpu-spring87,com.hpuvoice.app,ContentActivity,onPageSelected.(I)V,48
NanodegreeStudent,com.danilaeremin.nicecoffee.Fragments,NavigationDrawerFragment,selectItem.(I)V,50
DShamaev,com.hikimori911.mylastfmclient.appinterface,MainMenuFragment,selectItem.(I)V,54
formychar,com.example.shahab123.seng301,page2,calculateTime.(I)V,79
shred,org.shredzone.feinrip.gui,NoListSelectionModel,setSelectionMode.(I)V,58
jeremux,serveur,GraphImpl,aRecu.(I)Z,59
krisnaru,-,PrimeNumbers,test.(I)V,87
sarvex,com.sarvex.snow,PlaybackOverlayFragment,updatePlaybackRow.(I)V,60
StefanCiotec,ro.pub.cs.systems.pdsd.lab05.sample11listfragment.controller,CartoonAdapter,getItemId.(I)J,40
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,canOutput_Item.(I)Z,47
Mandrivia,main,ProblemData,getAltitudeChanges.(II)I,43
TBtomislav,jxl.write.biff,WritableWorkbookImpl,moveSheet.(II)Ljava/lang/Object;,48
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,setSide.(II)Z,73
jfedor2,org.jfedor.nxtremotecontrol,SquareImageButton,onMeasure.(II)V,49
JsonHunt,com.squareup.okhttp.internal.spdy,Settings,getMaxConcurrentStreams.(I)I,46
martincameron,micromod.compiler,Note,setRepeat.(I)V,50
TheTemportalist,com.temportalist.thaumicexpansion.common.tile,TEThaumicAnalyzer,getAugmentedTime.(I)I,46
martincameron,micromod.compiler,AudioData,scale.(I)Lmicromod/compiler/AudioData;,48
danielsnipher,br.com.fiap.blind,DesambiguaVoz,onInit.(I)V,31
dezouzart,service,SmartBusca,heuristica.(IIII)I,32
bitcrystal,de.bitcrystal.decentralizedexchange.security,BitCrystalKeyGenerator,getPasswordIterations.(I)I,41
srivathsarao,com.vertexnet.realestate.model.tablemodel,InstallmentsTableModel,isCellEditable.(II)Z,32
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,get.(I)F,46
yitaohu,cs61b_project1,PixImage,getRed.(II)S,41
butlersrepos,dungeonDigger.entities.templates,ZombieTemplate,newMovement.(I)I,30
shareme,com.grottworkshop.gwsviewmodel.viewmodel,UserListViewModel,deleteUser.(I)V,44
divinebooger,huglife,HugLife,simulate.(I)V,48
fabiuz7,util,GetData,getIntFromKeyboard.(II)I,367
tliu17,-,ListGraph,addEdge.(II)V,47
halfjew22,net.everythingandroid.timer,TimerActivity,switchTimerInputMethod.(I)V,34
divinebooger,-,StdDrawPlus,setCanvasSize.(II)V,175
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,getDepartamentoById.(I)Ljava/lang/Object;,50
niosus,com.learnit.learnit.fragments.learn_fragments,AbstractLearnFragment,fetchNewRandomWordsAsync.(II)V,45
MikeLydeamore,powercrystals.core.gui.controls,ListBox,scrollTo.(I)V,47
yxsu,com.petuum.ps.server,ServerRow,subscribe.(I)V,46
Sidereo,com.sidereo.paparazzi.adapter,PictureAdapter,getItemViewType.(I)I,36
AlecinVan,storm.ingress.tools,SlidingWindowCounter,slotAfter.(I)I,31
TBtomislav,jxl.write.biff,RowRecord,insertColumn.(I)V,32
igrief15,-,Board,drawBoard.(II)V,318
isince,com.ndsince.dictsv.Adapter,CustomAdapter,upDateFavoriteslist.(I)V,29
bowser123467,com.dwarfscraft.musicbox,MusicThread,nextSong.(I)V,30
TBtomislav,jxl.biff.formula,Function,getFunction.(I)Ljava/lang/Object;,49
Tyrtle,trevorwarner.individualgame,Brick,setBrickHealth.(I)V,33
bashizip,com.bashizip.andromed,QuotesActivity,displayQuote.(I)V,38
WyattPearson,-,HailstoneGUI,record.(II)V,33
mtudora,com.application.timmy.ui,OfficeMapView,onSizeChanged.(IIII)V,43
fabiuz7,edu.umd.cloud9.util,ArrayListOfFloats,remove.(I)F,45
MikeLydeamore,cofh.gui,GuiTextList,mouseClicked.(IIII)Ljava/lang/Object;,32
BoBinLee,com.skhu.service,DocumentService,getCalendarMenu.(II)Ljava/lang/Object;,31
divinebooger,-,StdDrawPlus,show.(I)V,107
clhernandez,cl.usach.lab1.rrhh.rmi.client,ClienteRrhhRMI,getCargoById.(I)Ljava/lang/Object;,46
fabiuz7,edu.umd.cloud9.util,ArrayListOfInts,add.(I)V,35
